scenario_id,assumption_id,draw_idx,n_deliveries,n_ptb,n_lbw,n_stillbirths,dalys,hiv_prev_final,syph_prev_final,ng_prev_final,ct_prev_final,tv_prev_final
anc_2screen_90cov,strong_effects,263,30340902.0,3888552.0,1568262.0,16356.0,606929.4,0.011359604793079802,0.0167747514051014,0.016903377637653403,0.12491480243931041,0.177482296745286
anc_2screen_90cov,strong_effects,343,29348580.0,3539508.0,1530504.0,50808.0,553041.6,0.05416435686594521,0.05568968799438081,0.018211756876273,0.1306840355779892,0.015142536528996001
anc_2screen_90cov,weak_effects,75,28286658.0,1678578.0,319116.0,18966.0,261948.3,0.1134006696061272,0.0017350824437372004,0.005820352915113001,0.0407097203835512,0.005814345251342
anc_2screen_90cov,weak_effects,78,29384772.0,2089392.0,382626.0,2784.0,324562.2,0.076883832805609,0.0,0.020426376531594605,0.181413931513933,0.26888487078056944
anc_2screen_90cov,weak_effects,236,29467596.0,1989864.0,359658.0,36192.0,308467.2,0.05375267852368141,0.035037470217759006,0.0,0.21255858053029222,0.06846994086427802
anc_2screen_90cov,weak_effects,263,30305232.0,2062770.0,370098.0,8526.0,320012.1,0.011711880116756801,0.00039011703511040004,0.0167153117075014,0.12586780437523298,0.17290136104122883
anc_2screen_90cov,weak_effects,343,29304036.0,1886856.0,364182.0,54984.0,293973.0,0.05447717728612961,0.057481305911841404,0.016802521207879402,0.12624543594075383,0.0139264186911974
soc,central_reversible,75,28315194.0,2299236.0,631794.0,18096.0,358561.8,0.107727636577913,0.0014112202182184,0.008770280919593601,0.0499146968177922,0.0262435381113444
soc,central_reversible,78,29416092.0,3957456.0,1266720.0,8526.0,613802.4,0.07567971564230501,0.00039071477821180003,0.0250301649737796,0.194037066270893,0.31968142605579924
soc,central_reversible,236,29513706.0,3471300.0,1073406.0,34974.0,537068.4,0.0529376687380112,0.0123490180267938,0.0,0.22966757892952022,0.12261818309294621
soc,central_reversible,263,30325938.0,3675576.0,1181460.0,22272.0,570546.0,0.0114274904261364,0.015242844752818601,0.019083889496571402,0.14012886705959002,0.231606062144529
soc,central_reversible,343,29318652.0,3422754.0,1181112.0,66642.0,531195.9,0.054039150472764405,0.0619340782283182,0.020080628970032002,0.1437102409750118,0.0406539174884434
soc,no_treatment_effect,75,28311540.0,2463318.0,736716.0,19488.0,383800.5,0.10837556332115161,0.0098923384714648,0.007195238701933201,0.052562236495488,0.026986722531503804
soc,no_treatment_effect,78,29440974.0,4308066.0,1454988.0,8526.0,668064.3,0.0742656064789316,0.0004128440366972,0.026564430639909403,0.19799381481303382,0.3162453583282582
soc,no_treatment_effect,236,29517882.0,3850620.0,1308480.0,32364.0,594906.0,0.0527101050117744,0.0021648684774804,0.0003299697443732,0.2283285418258088,0.12222723538322662
soc,no_treatment_effect,263,30330810.0,4095960.0,1435500.0,24012.0,634508.4,0.011502091779564402,0.0194920772737138,0.019911313828321803,0.13908604335057861,0.23113860568925904
soc,no_treatment_effect,343,29347188.0,3983730.0,1577136.0,72384.0,616542.9,0.05242801554163381,0.0605064445237808,0.018135274264099603,0.1449276365201886,0.041211851214641604
soc,strong_effects,75,28330158.0,2700654.0,969702.0,13746.0,423315.9,0.11167168111657862,9.748968084340001e-05,0.0073458895275696,0.053350728032727404,0.027166521168317404
soc,strong_effects,78,29447934.0,5360766.0,2450964.0,16356.0,836809.5,0.07449326131174601,0.0175091911764704,0.028178861300707604,0.20046490834019984,0.31349932269885106
soc,strong_effects,236,29521710.0,4440828.0,1718946.0,23838.0,689857.8,0.05118753442611741,0.0024729212133856003,0.0,0.22907060062652143,0.12208784115593321
soc,strong_effects,263,30340032.0,4863126.0,2177088.0,24360.0,758596.5,0.0113657730524026,0.017398850200672403,0.0190916453791884,0.1421275628623882,0.2337490230126876
soc,strong_effects,343,29336922.0,4404462.0,2114970.0,64032.0,685377.3,0.0543555747681536,0.0615762627827644,0.0180790455017144,0.14425036482820042,0.03714405971643701
soc,weak_effects,75,28277436.0,1703808.0,333384.0,18270.0,265767.6,0.11151746342756981,0.0004750077663936,0.0080385955835228,0.053605944803548,0.025911191059428
soc,weak_effects,78,29376594.0,2192400.0,424560.0,21750.0,340448.4,0.07696914215374061,0.0168744228993536,0.0269937612769848,0.19715891358601,0.3170766245076714
soc,weak_effects,236,29462202.0,2077560.0,393066.0,36714.0,321673.8,0.0537321069277488,0.0122647194390056,0.0,0.22923821530481542,0.12170791940248579
soc,weak_effects,263,30300186.0,2154816.0,405246.0,21054.0,334184.4,0.011695374044847402,0.004624402952670401,0.018289631014766803,0.1385576661405906,0.23076755254276962
soc,weak_effects,343,29285244.0,1957326.0,387846.0,74646.0,304647.9,0.0549961767994516,0.05993357930346641,0.0192738065774232,0.14113958687899042,0.040823509621985006
